CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
514018,0.14685,4,0.147825,11.2741,0.124499,9.87563,0.157371,0.00207435,0.00279961,0.913634,0.0422258,514018.0,25.5056852832337,429.558298784941,-9.27858127253006,1.09516,0.0,1500570001.0,150057.0,,,,,
514024,0.07737,5,0.0782868,10.7747,0.126743,9.78524,0.226725,0.0144144,0.0106876,1.12664,0.0472153,514024.0,13.8815941503689,230.698969910914,-5.37601911686242,1.42865,0.0,1500410002.0,150041.0,,,,,
514025,0.12453,5,0.125486,11.1083,0.101773,9.84025,0.169859,0.0127207,0.00810232,1.17148,0.0484922,514025.0,21.9574167910984,366.311577719701,-7.9102922810667,2.70127,0.0,1500520001.0,150052.0,,,,,
514031,0.12524,5,0.126195,10.9026,0.108583,9.81942,0.184948,0.0119169,0.00847987,1.12455,0.0467207,514031.0,21.4174323246372,368.369138812963,-7.82222726146324,3.20505,307152.0,1500520001.0,150052.0,,,,,
514033,0.14763,4,0.148606,10.1713,0.116353,9.76306,0.220367,0.0127215,0.00755126,0.863598,0.047436,514033.0,25.954860259142,431.753413486927,-8.65279944646115,1.74258,0.0,1500570001.0,150057.0,,,,,
514036,0.14908,4,0.150057,10.1272,0.122809,9.66702,0.251948,0.0117163,0.00727011,0.637063,0.0439524,514036.0,25.8592279941675,435.840343380569,-9.5743718989416,2.0808,0.0,1500570001.0,150057.0,,,,,
514037,0.20035,4,0.20137,10.8379,0.0969734,9.82019,0.167309,0.011946,0.00785888,1.09415,0.0507102,514037.0,34.1724206509301,578.610949852368,-13.1725060091298,0.764136,0.0,1501430001.0,150143.0,,,,,
514040,0.19849,4,0.199508,10.3644,0.106718,9.81251,0.173803,0.0099861,0.00759384,1.04776,0.0643316,514040.0,33.6783002670126,573.508006024405,-12.648282178836,2.43672,0.0,1501430001.0,150143.0,,,,,
514043,0.20042,4,0.201441,9.85416,0.119139,9.69127,0.225914,0.0134522,0.00810593,0.619811,0.0572121,514043.0,34.7943745811902,578.760750652098,-13.6023364659781,0.0276316,306569.0,1501430001.0,150143.0,,,,,
543489,0.05312,5,0.0540508,10.9338,0.112769,9.86068,0.18584,0.00900661,0.00805545,1.11994,0.0449865,543489.0,15.9366627332825,159.560339928351,-2.45925040827885,2.00285,300014.0,1500380003.0,150038.0,,,,,
543495,0.14693,4,0.147944,10.6595,0.108771,9.8208,0.186474,0.00878751,0.00716041,1.03045,0.0479166,543495.0,42.9227840577633,428.541773560718,-7.55197338432881,0.0280084,302719.0,1501480001.0,150148.0,,,,,
543504,0.1471,4,0.148115,9.76976,0.124328,9.59708,0.25026,0.00820941,0.0068266,0.500718,0.0484992,543504.0,43.0585249461115,429.009112889824,-7.69012470971445,0.479337,302719.0,1501480001.0,150148.0,,,,,
543512,0.20888,4,0.209948,10.1338,0.111548,9.71104,0.212593,0.0104303,0.00707057,0.618799,0.0491303,543512.0,59.8166011648476,600.310032690497,-9.74953409574513,2.54497,0.0,1500680001.0,150068.0,,,,,
543531,0.05258,5,0.053508,10.0012,0.178389,9.45589,0.347348,0.0194053,0.0190883,0.881622,0.0512066,543531.0,15.3480154948754,158.014798823114,-2.58079963303209,3.56046,300014.0,1500380003.0,150038.0,,,,,
543537,0.05385,5,0.0547798,11.3527,0.122672,9.82781,0.210583,0.0124914,0.009578,1.13558,0.043911,543537.0,15.8225292061368,161.718427341998,-2.70952800925129,0.175769,300014.0,1500380003.0,150038.0,,,,,
543539,0.16059,4,0.161614,10.4156,0.128765,9.71422,0.251942,0.0130198,0.00820113,0.974474,0.0525441,543539.0,45.7430627592558,466.918171680752,-7.84716304134953,0.815927,300489.0,1500660001.0,150066.0,,,,,
543542,0.16004,5,0.161063,11.2412,0.102519,9.81444,0.17457,0.0135678,0.00809956,1.15092,0.0472212,543542.0,45.5277112261501,465.392863686133,-7.46484661731234,0.814556,300489.0,1500660001.0,150066.0,,,,,
